;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;Number of member accounts by member gender;;;;Members' benefits by member gender;;;;Number of member accounts by member age bracket (female);;;;;;;;;;;;Members' benefits by member age bracket (female);;;;;;;;;;;;Number of member accounts by member age bracket (male);;;;;;;;;;;;Members' benefits by member age bracket (male);;;;;;;;;;;
Fund name;RSE Regulatory classification;Fund type;RSE Membership base;Fund's RSE licensee;RSE licensee ownership type;RSE licensee profit status;Total number of member accounts at the end of period;Total members' benefits at end of period;Number of members accounts : female;Number of members accounts : male;Number of members : Intersex or Indeterminate;Number of members : Not stated or inadequately described;Members' benefits : female;Members' benefits : male;Members' benefits : Intersex or Indeterminate;Members' benefits : Not stated or inadequately described;<25;25 to 34;35 to 44;45 to 49;50 to 54;55 to 59;60 to 64;65 to 69;70 to 74;75 to 84;85+;Age not available;<25;25 to 34;35 to 44;45 to 49;50 to 54;55 to 59;60 to 64;65 to 69;70 to 74;75 to 84;85+;Age not available;<25;25 to 34;35 to 44;45 to 49;50 to 54;55 to 59;60 to 64;65 to 69;70 to 74;75 to 84;85+;Age not available;<25;25 to 34;35 to 44;45 to 49;50 to 54;55 to 59;60 to 64;65 to 69;70 to 74;75 to 84;85+;Age not available
;;;;;;;;($'000);;;;;($'000);($'000);($'000);($'000);;;;;;;;;;;;;($'000);($'000);($'000);($'000);($'000);($'000);($'000);($'000);($'000);($'000);($'000);($'000);;;;;;;;;;;;;($'000);($'000);($'000);($'000);($'000);($'000);($'000);($'000);($'000);($'000);($'000);($'000)
AvSuper Fund;Public offer;Public Sector;Corporate base;AvSuper Pty Ltd;Financial services corporation ownership;Not for profit status;6340;2179996;1620;4720;;;379304;1800692;;;27;244;359;269;195;188;166;97;53;*;*;;283;17155;49390;69972;58479;72335;56931;33612;16217;*;*;;66;670;990;618;524;684;485;437;202;*;*;;788;60036;183244;237804;247951;455895;288571;226477;84886;*;*;
AvWrap Retirement Service;Public offer;Retail;General base;I.O.O.F. Investment Management Limited;Financial services corporation ownership;For profit status;1172;435156;593;579;;;203335;231821;;;;*;29;*;28;54;96;107;100;143;*;;;*;3683;*;7894;20112;50145;37484;35769;37945;*;;*;*;25;*;31;55;90;103;94;130;*;;*;*;4324;*;10659;24815;52855;45745;34936;47357;*;
Boc Gases Superannuation Fund;Non public offer;Corporate;Corporate base;BOC Superannuation Pty Ltd;Financial services corporation ownership;Not for profit status;3239;734630;944;2295;;;139650;594980;;;*;181;270;144;101;91;55;46;*;*;*;;*;7907;27431;22539;21272;17823;16825;15083;*;*;*;;*;293;464;315;308;335;241;153;*;57;*;;*;17161;63297;66731;92792;145646;94618;63583;*;21357;*;
Building Unions Superannuation Scheme (Queensland);Public offer;Industry;Industry base;BUSS (Queensland) Pty Ltd;Nominating organisation ownership;Not for profit status;80467;5020068;5653;74814;;;399938;4620130;;;639;1092;1166;657;556;539;439;317;162;*;*;;8118;25509;54570;47194;38273;51778;61497;61406;29810;*;*;;7593;18607;18567;9078;7398;6288;4279;1925;760;*;*;*;66341;619843;1152922;667798;628178;607319;467777;250642;112847;*;*;*
Care Super;Public offer;Industry;Industry base;CARE Super Pty Ltd;Financial services corporation ownership;Not for profit status;245598;16124329;140084;104845;;669;8393057;7726486;;4786;12722;28003;33263;18219;15421;13411;9636;5675;2697;870;167;;47954;610937;1579564;1186106;1206545;1289289;1152791;801957;386505;127266;4144;;11150;23370;25218;12629;10409;8825;6614;3719;1894;818;199;;44988;540758;1556118;1132504;1125761;1176026;1004485;646901;328261;165263;5420;
Challenger Retirement Fund;Public offer;Retail;General base;Challenger Retirement and Investment Services Limited;Financial services corporation ownership;For profit status;4030;621788;2159;1871;;;336164;285624;;;;*;*;34;51;102;212;370;470;662;228;;;*;*;1314;5648;20233;56888;83048;82417;73507;12615;;;*;*;31;40;57;167;273;398;579;293;;;*;*;2147;3212;6871;48193;67792;73792;63995;19034;
Christian Super;Public offer;Industry;Industry base;Christian Super Pty Limited;Employer sponsor (non-public sector) ownership;Not for profit status;28082;1584845;16578;11429;;75;778368;802064;;4413;1802;2931;3969;2108;1814;1633;1249;689;282;101;;;4820;58586;153189;105267;112289;122435;119250;66808;25708;10016;;;1548;1995;2262;1110;1085;1077;1063;690;403;*;*;;3768;50201;147680;100452;111844;115914;130814;76360;44521;*;*;
Citibank Australia Staff Superannuation Fund;Non public offer;Corporate;Corporate base;Citibank Australia Staff Superannuation Pty Limited;Employer sponsor (non-public sector) ownership;Not for profit status;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*;*
ClearView Retirement Plan;Public offer;Retail;General base;ClearView Life Nominees Pty Limited;Financial services corporation ownership;For profit status;41120;1991291;*;*;;*;*;1078632;;*;148;2848;4861;2219;1947;1504;1015;776;988;1275;*;;167;5167;23591;35194;52519;69190;123977;202471;205104;184747;*;;184;3672;6297;2955;2629;2447;1725;933;860;1532;*;;80;7976;39869;50353;63172;104017;169636;195734;206309;226894;*;
Club Plus Superannuation Scheme;Public offer;Industry;Industry base;Club Plus Superannuation Pty Ltd;Nominating organisation ownership;Not for profit status;76764;2909840;38976;37788;;;1321020;1588820;;;7043;8474;7996;3935;3603;3606;2538;1177;467;*;*;*;28790;135596;222480;153504;181845;225978;196985;113045;48568;*;*;*;7336;9007;7501;3600;2884;2856;2420;1251;653;*;*;*;30084;165596;293867;203902;203136;248031;226228;135737;61203;*;*;*
